ds,cid,item,y
08-07-2022,762,Pista,313
09-07-2022,648,Pista,184
10-07-2022,2683,Pista,245
11-07-2022,3409,Pista,365
12-07-2022,541,Pista,187
13-07-2022,3198,Pista,212
14-07-2022,6934,Pista,196
15-07-2022,69844,Pista,288
16-07-2022,170,Pista,323
17-07-2022,1304,Pista,297
18-07-2022,2313,Pista,398
19-07-2022,3203,Pista,333
20-07-2022,4563,Pista,308
21-07-2022,5054,Pista,211
22-07-2022,1391,Pista,337
23-07-2022,3793,Pista,233
24-07-2022,4979,Pista,400
25-07-2022,6365,Pista,377
26-07-2022,165,Pista,238
27-07-2022,1270,Pista,276
28-07-2022,4052,Pista,219
29-07-2022,7439,Pista,332
30-07-2022,47394,Pista,343
31-07-2022,50442,Pista,339
01-08-2022,52644,Pista,329
02-08-2022,54775,Pista,206
03-08-2022,55946,Pista,267
04-08-2022,58103,Pista,297
05-08-2022,60072,Pista,238
06-08-2022,50,Pista,225
07-08-2022,273,Pista,237
08-08-2022,501,Pista,185
09-08-2022,858,Pista,376
10-08-2022,1111,Pista,255
11-08-2022,1214,Pista,260
12-08-2022,1285,Pista,186
13-08-2022,1635,Pista,267
14-08-2022,1834,Pista,222
15-08-2022,2160,Pista,351
16-08-2022,2416,Pista,274
17-08-2022,2916,Pista,286
18-08-2022,318,Pista,226
19-08-2022,745,Pista,341
20-08-2022,1233,Pista,398
21-08-2022,1610,Pista,400
22-08-2022,2797,Pista,366
23-08-2022,3507,Pista,284
24-08-2022,5010,Pista,191
25-08-2022,7438,Pista,253
26-08-2022,37731,Pista,376
27-08-2022,55118,Pista,383
28-08-2022,76251,Pista,309
29-08-2022,50,Pista,396
30-08-2022,1200,Pista,289
31-08-2022,1690,Pista,302
01-09-2022,3147,Pista,235
02-09-2022,5669,Pista,220
03-09-2022,34292,Pista,205
04-09-2022,68791,Pista,271
05-09-2022,89470,Pista,220
06-09-2022,112552,Pista,181
07-09-2022,4020,Pista,380
08-09-2022,3005,Pista,267
09-09-2022,260,Pista,308
10-09-2022,919,Pista,254
11-09-2022,1517,Pista,276
12-09-2022,2291,Pista,361
13-09-2022,3147,Pista,359
14-09-2022,4896,Pista,180
15-09-2022,6440,Pista,258
16-09-2022,27800,Pista,253
17-09-2022,54272,Pista,336
18-09-2022,69757,Pista,269
19-09-2022,89753,Pista,385
20-09-2022,111364,Pista,229
21-09-2022,135456,Pista,332
22-09-2022,2687,Pista,350
23-09-2022,68135,Pista,302
24-09-2022,2194,Pista,232
25-09-2022,1104,Pista,196
26-09-2022,36,Pista,384
27-09-2022,194,Pista,198
28-09-2022,352,Pista,274
29-09-2022,481,Pista,398
30-09-2022,608,Pista,262
01-10-2022,1073,Pista,303
02-10-2022,1193,Pista,191
03-10-2022,1235,Pista,327
04-10-2022,1291,Pista,386
05-10-2022,1387,Pista,364
06-10-2022,1619,Pista,212
07-10-2022,1912,Pista,238
08-10-2022,1978,Pista,266
09-10-2022,2028,Pista,367
10-10-2022,2161,Pista,389
11-10-2022,2305,Pista,220
12-10-2022,2382,Pista,358
13-10-2022,2457,Pista,203
14-10-2022,2642,Pista,202
15-10-2022,2758,Pista,201
16-10-2022,2915,Pista,230
17-10-2022,3014,Pista,324
18-10-2022,3129,Pista,326
19-10-2022,3253,Pista,201
20-10-2022,3386,Pista,217
21-10-2022,3478,Pista,269
22-10-2022,3593,Pista,289
23-10-2022,3704,Pista,374
24-10-2022,3969,Pista,341
25-10-2022,4084,Pista,366
26-10-2022,150,Pista,292
27-10-2022,587,Pista,255
28-10-2022,457,Pista,375
29-10-2022,1258,Pista,263
30-10-2022,2700,Pista,180
31-10-2022,8464,Pista,365
01-11-2022,4799,Pista,298
02-11-2022,506,Pista,312
03-11-2022,2134,Pista,183
04-11-2022,5309,Pista,215
05-11-2022,527,Pista,352
06-11-2022,1343,Pista,244
07-11-2022,2188,Pista,238
08-11-2022,2690,Pista,198
09-11-2022,3114,Pista,273
10-11-2022,6184,Pista,335
11-11-2022,1291,Pista,381
12-11-2022,5944,Pista,196
13-11-2022,81834,Pista,367
14-11-2022,114662,Pista,269
15-11-2022,231,Pista,302
16-11-2022,377,Pista,303
17-11-2022,47,Pista,275
18-11-2022,353,Pista,242
19-11-2022,1080,Pista,225
20-11-2022,1221,Pista,258
21-11-2022,1374,Pista,331
22-11-2022,1997,Pista,330
23-11-2022,2791,Pista,244
24-11-2022,3996,Pista,293
25-11-2022,5618,Pista,335
26-11-2022,8961,Pista,309
27-11-2022,51255,Pista,343
28-11-2022,69122,Pista,237
29-11-2022,143355,Pista,312
30-11-2022,1235,Pista,357
01-12-2022,5618,Pista,231
02-12-2022,260,Pista,195
03-12-2022,778,Pista,393
04-12-2022,1148,Pista,386
05-12-2022,1721,Pista,356
06-12-2022,2628,Pista,393
07-12-2022,3469,Pista,373
08-12-2022,4546,Pista,236
09-12-2022,6367,Pista,233
10-12-2022,30825,Pista,394
11-12-2022,3578,Pista,335
12-12-2022,1,Pista,325
13-12-2022,1,Pista,371
14-12-2022,2022,Pista,186
15-12-2022,3785,Pista,353
16-12-2022,5995,Pista,301
17-12-2022,40815,Pista,351
18-12-2022,64034,Pista,377
19-12-2022,81847,Pista,277
20-12-2022,108932,Pista,395
21-12-2022,34072,Pista,269
22-12-2022,317,Pista,389
23-12-2022,593,Pista,359
24-12-2022,1073,Pista,371
25-12-2022,1513,Pista,231
26-12-2022,2114,Pista,208
27-12-2022,2581,Pista,189
28-12-2022,3489,Pista,319
29-12-2022,4310,Pista,382
30-12-2022,5816,Pista,321
31-12-2022,8722,Pista,358
01-01-2021,46530,Pista,300
02-01-2021,231,Pista,374
03-01-2021,29,Pista,320
04-01-2021,165,Pista,324
05-01-2021,316,Pista,341
06-01-2021,383,Pista,216
07-01-2021,551,Pista,328
