ds,CId,Item,Quantity,y
09-11-2022 00:00,2115,Rice,KG,152
11-11-2022 00:00,42723,Rice,KG,98
13-11-2022 00:00,4506,Rice,KG,116
18-11-2022 00:00,8623,Rice,KG,172
21-11-2022 00:00,29,Rice,KG,112
25-11-2022 00:00,1921,Rice,KG,151
25-11-2022 00:00,2316,Rice,KG,157
28-11-2022 00:00,3087,Rice,KG,142
29-11-2022 00:00,1957,Rice,KG,158
29-11-2022 00:00,1073,Rice,KG,177
29-11-2022 00:00,480,Rice,KG,85
30-11-2022 00:00,3000,Rice,KG,179
02-12-2022 00:00,541,Rice,KG,118
03-12-2022 00:00,5065,Rice,KG,88
06-12-2022 00:00,2804,Rice,KG,81
06-12-2022 00:00,1208,Rice,KG,134
12-12-2022 00:00,1096,Rice,KG,172
15-12-2022 00:00,2797,Rice,KG,155
15-12-2022 00:00,915,Rice,KG,91
15-12-2022 00:00,3578,Rice,KG,162
15-12-2022 00:00,1079,Rice,KG,70
17-12-2022 00:00,5378,Rice,KG,116
18-12-2022 00:00,529,Rice,KG,97
20-12-2022 00:00,5013,Rice,KG,110
20-12-2022 00:00,1244,Rice,KG,170
20-12-2022 00:00,4132,Rice,KG,80
26-12-2022 00:00,2528,Rice,KG,125
30-12-2022 00:00,4765,Rice,KG,114
04-01-2022 00:00,858,Rice,KG,75
10-02-2022 00:00,79132,Rice,KG,145
21-02-2022 00:00,122892,Rice,KG,103
01-03-2022 00:00,87520,Rice,KG,131
10-03-2022 00:00,81834,Rice,KG,97
20-03-2022 00:00,1221,Rice,KG,101
10-04-2022 00:00,58803,Rice,KG,79
28-04-2022 00:00,58559,Rice,KG,167
01-05-2022 00:00,5618,Rice,KG,86
23-05-2022 00:00,68237,Rice,KG,87
30-05-2022 00:00,115713,Rice,KG,177
17-06-2022 00:00,89745,Rice,KG,143
20-06-2022 00:00,96821,Rice,KG,123
24-06-2022 00:00,70286,Rice,KG,77
09-07-2022 00:00,129354,Rice,KG,116
14-07-2022 00:00,2571,Rice,KG,72
17-07-2022 00:00,5816,Rice,KG,176
30-07-2022 00:00,4015,Rice,KG,166
15-08-2022 00:00,4896,Rice,KG,102
03-10-2022 00:00,112556,Rice,KG,145
03-10-2022 00:00,117176,Rice,KG,105
15-10-2022 00:00,79091,Rice,KG,140
23-10-2022 00:00,296,Rice,KG,148
25-10-2022 00:00,115617,Rice,KG,97
09-11-2022 00:00,50872,Rice,KG,130
16-11-2022 00:00,97913,Rice,KG,108
27-11-2022 00:00,318,Rice,KG,81
