ds,Cid,item,units,y
19-02-2023,2490,cooking oil,Lt,227
19-02-2023,2490,cooking oil,Lt,211
19-02-2023,2505,cooking oil,Lt,192
19-02-2023,2520,cooking oil,Lt,246
19-02-2023,2520,cooking oil,Lt,199
19-02-2023,2520,cooking oil,Lt,239
19-02-2023,2520,cooking oil,Lt,150
19-02-2023,2523,cooking oil,Lt,130
19-02-2023,2526,cooking oil,Lt,181
19-02-2023,2531,cooking oil,Lt,245
19-02-2023,2531,cooking oil,Lt,223
19-02-2023,2585,cooking oil,Lt,217
19-02-2023,2601,cooking oil,Lt,162
19-02-2023,2606,cooking oil,Lt,228
19-02-2023,2627,cooking oil,Lt,201
19-02-2023,2633,cooking oil,Lt,166
19-02-2023,2635,cooking oil,Lt,199
19-02-2023,2639,cooking oil,Lt,192
19-02-2023,2640,cooking oil,Lt,145
19-02-2023,2642,cooking oil,Lt,205
19-02-2023,2643,cooking oil,Lt,193
19-02-2023,2650,cooking oil,Lt,161
19-02-2023,2655,cooking oil,Lt,147
19-02-2023,2878,cooking oil,Lt,131
19-02-2023,2946,cooking oil,Lt,244
19-02-2023,2957,cooking oil,Lt,193
19-02-2023,3041,cooking oil,Lt,134
19-02-2023,3049,cooking oil,Lt,227
19-02-2023,3051,cooking oil,Lt,134
19-02-2023,3075,cooking oil,Lt,174
19-02-2023,3104,cooking oil,Lt,191
19-02-2023,3114,cooking oil,Lt,205
19-02-2023,3119,cooking oil,Lt,148
19-02-2023,3120,cooking oil,Lt,160
19-02-2023,3120,cooking oil,Lt,221
19-02-2023,3140,cooking oil,Lt,185
19-02-2023,3282,cooking oil,Lt,139
19-02-2023,3317,cooking oil,Lt,178
19-02-2023,3347,cooking oil,Lt,164
19-02-2023,3354,cooking oil,Lt,160
19-02-2023,3355,cooking oil,Lt,239
19-02-2023,3357,cooking oil,Lt,216
19-02-2023,3382,cooking oil,Lt,228
19-02-2023,3400,cooking oil,Lt,189
19-02-2023,3408,cooking oil,Lt,231
19-02-2023,3477,cooking oil,Lt,175
19-02-2023,3484,cooking oil,Lt,191
19-02-2023,3484,cooking oil,Lt,224
19-02-2023,3506,cooking oil,Lt,249
19-02-2023,3529,cooking oil,Lt,141
19-02-2023,3537,cooking oil,Lt,154
19-02-2023,3539,cooking oil,Lt,212
19-02-2023,3542,cooking oil,Lt,147
19-02-2023,3547,cooking oil,Lt,125
19-02-2023,3557,cooking oil,Lt,141
19-02-2023,3694,cooking oil,Lt,216
19-02-2023,3723,cooking oil,Lt,233
19-02-2023,3753,cooking oil,Lt,234
19-02-2023,3760,cooking oil,Lt,230
19-02-2023,3760,cooking oil,Lt,171
19-02-2023,3760,cooking oil,Lt,143
19-02-2023,3768,cooking oil,Lt,158
19-02-2023,3777,cooking oil,Lt,159
19-02-2023,3778,cooking oil,Lt,167
19-02-2023,3840,cooking oil,Lt,142
19-02-2023,3859,cooking oil,Lt,130
19-02-2023,3862,cooking oil,Lt,124
19-02-2023,3896,cooking oil,Lt,154
19-02-2023,3910,cooking oil,Lt,195
19-02-2023,3925,cooking oil,Lt,232
19-02-2023,3930,cooking oil,Lt,147
19-02-2023,3937,cooking oil,Lt,170
19-02-2023,3937,cooking oil,Lt,232
19-02-2023,3950,cooking oil,Lt,175
19-02-2023,4086,cooking oil,Lt,217
19-02-2023,4109,cooking oil,Lt,173
19-02-2023,4147,cooking oil,Lt,140
19-02-2023,4154,cooking oil,Lt,161
19-02-2023,4154,cooking oil,Lt,209
19-02-2023,4155,cooking oil,Lt,120
19-02-2023,4160,cooking oil,Lt,209
19-02-2023,4160,cooking oil,Lt,240
19-02-2023,4163,cooking oil,Lt,229
19-02-2023,4269,cooking oil,Lt,120
19-02-2023,4273,cooking oil,Lt,185
19-02-2023,4293,cooking oil,Lt,222
19-02-2023,4294,cooking oil,Lt,217
19-02-2023,4294,cooking oil,Lt,151
19-02-2023,4294,cooking oil,Lt,141
19-02-2023,4294,cooking oil,Lt,183
19-02-2023,4302,cooking oil,Lt,146
19-02-2023,4305,cooking oil,Lt,245
19-02-2023,4313,cooking oil,Lt,120
19-02-2023,4317,cooking oil,Lt,245
19-02-2023,4323,cooking oil,Lt,151
19-02-2023,4323,cooking oil,Lt,232
19-02-2023,4323,cooking oil,Lt,140
19-02-2023,4387,cooking oil,Lt,128
19-02-2023,4426,cooking oil,Lt,163
19-02-2023,4427,cooking oil,Lt,203
19-02-2023,4430,cooking oil,Lt,187
19-02-2023,4447,cooking oil,Lt,197
19-02-2023,4450,cooking oil,Lt,133
19-02-2023,4453,cooking oil,Lt,191
19-02-2023,4477,cooking oil,Lt,127
19-02-2023,4481,cooking oil,Lt,220
19-02-2023,4493,cooking oil,Lt,199
19-02-2023,4566,cooking oil,Lt,216
19-02-2023,4574,cooking oil,Lt,241
19-02-2023,4574,cooking oil,Lt,238
19-02-2023,4582,cooking oil,Lt,124
19-02-2023,4597,cooking oil,Lt,181
19-02-2023,4603,cooking oil,Lt,178
19-02-2023,4605,cooking oil,Lt,204
19-02-2023,4611,cooking oil,Lt,208
19-02-2023,4616,cooking oil,Lt,192
19-02-2023,4617,cooking oil,Lt,220
19-02-2023,4621,cooking oil,Lt,125
19-02-2023,4627,cooking oil,Lt,233
19-02-2023,4631,cooking oil,Lt,162
19-02-2023,4649,cooking oil,Lt,195
19-02-2023,4653,cooking oil,Lt,245
19-02-2023,4785,cooking oil,Lt,136
19-02-2023,4831,cooking oil,Lt,183
19-02-2023,4833,cooking oil,Lt,198
19-02-2023,4837,cooking oil,Lt,136
19-02-2023,4853,cooking oil,Lt,168
19-02-2023,4856,cooking oil,Lt,141
19-02-2023,4873,cooking oil,Lt,231
19-02-2023,4894,cooking oil,Lt,188
19-02-2023,4898,cooking oil,Lt,245
19-02-2023,4916,cooking oil,Lt,215
19-02-2023,4964,cooking oil,Lt,221
19-02-2023,4964,cooking oil,Lt,147
19-02-2023,4964,cooking oil,Lt,212
19-02-2023,4995,cooking oil,Lt,126
19-02-2023,5001,cooking oil,Lt,176
19-02-2023,5025,cooking oil,Lt,198
19-02-2023,5047,cooking oil,Lt,218
19-02-2023,5056,cooking oil,Lt,185
19-02-2023,5192,cooking oil,Lt,200
19-02-2023,5231,cooking oil,Lt,147
19-02-2023,5243,cooking oil,Lt,178
19-02-2023,5256,cooking oil,Lt,250
19-02-2023,5256,cooking oil,Lt,125
19-02-2023,5265,cooking oil,Lt,144
19-02-2023,5275,cooking oil,Lt,169
19-02-2023,5275,cooking oil,Lt,212
19-02-2023,5278,cooking oil,Lt,192
19-02-2023,5296,cooking oil,Lt,231
19-02-2023,5349,cooking oil,Lt,222
19-02-2023,5366,cooking oil,Lt,149
19-02-2023,5378,cooking oil,Lt,226
19-02-2023,5389,cooking oil,Lt,197
19-02-2023,5391,cooking oil,Lt,138
19-02-2023,5396,cooking oil,Lt,224
19-02-2023,5408,cooking oil,Lt,240
19-02-2023,5408,cooking oil,Lt,151
19-02-2023,5412,cooking oil,Lt,131
19-02-2023,5425,cooking oil,Lt,177
19-02-2023,5531,cooking oil,Lt,235
19-02-2023,5549,cooking oil,Lt,177
19-02-2023,5592,cooking oil,Lt,147
19-02-2023,5614,cooking oil,Lt,128
19-02-2023,5620,cooking oil,Lt,182
19-02-2023,5620,cooking oil,Lt,157
19-02-2023,5620,cooking oil,Lt,224
19-02-2023,5620,cooking oil,Lt,168
19-02-2023,5620,cooking oil,Lt,181
19-02-2023,5620,cooking oil,Lt,198
19-02-2023,5631,cooking oil,Lt,121
19-02-2023,5697,cooking oil,Lt,221
19-02-2023,5706,cooking oil,Lt,243
19-02-2023,5720,cooking oil,Lt,180
19-02-2023,5732,cooking oil,Lt,248
19-02-2023,5732,cooking oil,Lt,243
19-02-2023,5736,cooking oil,Lt,210
19-02-2023,5744,cooking oil,Lt,156
19-02-2023,5746,cooking oil,Lt,202
19-02-2023,5749,cooking oil,Lt,134
19-02-2023,5765,cooking oil,Lt,142
19-02-2023,5846,cooking oil,Lt,248
19-02-2023,5857,cooking oil,Lt,234
19-02-2023,5909,cooking oil,Lt,223
19-02-2023,5915,cooking oil,Lt,247
19-02-2023,5922,cooking oil,Lt,135
19-02-2023,5923,cooking oil,Lt,238
19-02-2023,5935,cooking oil,Lt,194
19-02-2023,5937,cooking oil,Lt,245
19-02-2023,5939,cooking oil,Lt,231
19-02-2023,5947,cooking oil,Lt,250
19-02-2023,5958,cooking oil,Lt,133
19-02-2023,6038,cooking oil,Lt,196
19-02-2023,6042,cooking oil,Lt,120
19-02-2023,6064,cooking oil,Lt,129
19-02-2023,6074,cooking oil,Lt,222
19-02-2023,6074,cooking oil,Lt,229
19-02-2023,6079,cooking oil,Lt,222
19-02-2023,6089,cooking oil,Lt,249
19-02-2023,6094,cooking oil,Lt,229
19-02-2023,6094,cooking oil,Lt,130
19-02-2023,6110,cooking oil,Lt,180
19-02-2023,6222,cooking oil,Lt,176
19-02-2023,6236,cooking oil,Lt,161
19-02-2023,6287,cooking oil,Lt,186
19-02-2023,6295,cooking oil,Lt,212
19-02-2023,6309,cooking oil,Lt,246
19-02-2023,6314,cooking oil,Lt,234
19-02-2023,6327,cooking oil,Lt,161
19-02-2023,6340,cooking oil,Lt,205
19-02-2023,6345,cooking oil,Lt,148
19-02-2023,6348,cooking oil,Lt,123
19-02-2023,6361,cooking oil,Lt,141
19-02-2023,6466,cooking oil,Lt,231
19-02-2023,6481,cooking oil,Lt,227
19-02-2023,6500,cooking oil,Lt,187
19-02-2023,6513,cooking oil,Lt,235
19-02-2023,6513,cooking oil,Lt,158
19-02-2023,6513,cooking oil,Lt,178
19-02-2023,6513,cooking oil,Lt,227
19-02-2023,6513,cooking oil,Lt,192
19-02-2023,6513,cooking oil,Lt,129
19-02-2023,6548,cooking oil,Lt,159
19-02-2023,6676,cooking oil,Lt,245
19-02-2023,6688,cooking oil,Lt,236
19-02-2023,6720,cooking oil,Lt,214
19-02-2023,6759,cooking oil,Lt,245
19-02-2023,6779,cooking oil,Lt,171
19-02-2023,6785,cooking oil,Lt,166
19-02-2023,6785,cooking oil,Lt,208
19-02-2023,6799,cooking oil,Lt,120
19-02-2023,6803,cooking oil,Lt,144
19-02-2023,6809,cooking oil,Lt,157
19-02-2023,6815,cooking oil,Lt,206
19-02-2023,6888,cooking oil,Lt,140
19-02-2023,6893,cooking oil,Lt,147
19-02-2023,6904,cooking oil,Lt,165
19-02-2023,6914,cooking oil,Lt,168
19-02-2023,6914,cooking oil,Lt,150
19-02-2023,6916,cooking oil,Lt,235
19-02-2023,6921,cooking oil,Lt,165
19-02-2023,6926,cooking oil,Lt,182
19-02-2023,6926,cooking oil,Lt,159
19-02-2023,6955,cooking oil,Lt,181
19-02-2023,7083,cooking oil,Lt,215
19-02-2023,7095,cooking oil,Lt,236
19-02-2023,7123,cooking oil,Lt,215
19-02-2023,7148,cooking oil,Lt,250
19-02-2023,7155,cooking oil,Lt,158
19-02-2023,7155,cooking oil,Lt,187
19-02-2023,7164,cooking oil,Lt,148
19-02-2023,7171,cooking oil,Lt,128
19-02-2023,7184,cooking oil,Lt,185
19-02-2023,7245,cooking oil,Lt,227
19-02-2023,7312,cooking oil,Lt,167
19-02-2023,7318,cooking oil,Lt,239
19-02-2023,7331,cooking oil,Lt,164
19-02-2023,7359,cooking oil,Lt,177
19-02-2023,7364,cooking oil,Lt,144
19-02-2023,7457,cooking oil,Lt,245
19-02-2023,7457,cooking oil,Lt,129
19-02-2023,7535,cooking oil,Lt,248
19-02-2023,7535,cooking oil,Lt,220
19-02-2023,7544,cooking oil,Lt,245
19-02-2023,7546,cooking oil,Lt,189
19-02-2023,7551,cooking oil,Lt,245
19-02-2023,7564,cooking oil,Lt,131
19-02-2023,7570,cooking oil,Lt,145
19-02-2023,7570,cooking oil,Lt,231
19-02-2023,7671,cooking oil,Lt,137
19-02-2023,7691,cooking oil,Lt,176
19-02-2023,7704,cooking oil,Lt,187
