ds,Item,units,y
01-01-2022,sugar,KG,65
01-01-2022,sugar,KG,72
01-01-2022,sugar,KG,93
01-01-2022,sugar,KG,90
01-01-2022,sugar,KG,149
01-01-2022,sugar,KG,170
02-01-2022,sugar,KG,125
02-01-2022,sugar,KG,142
02-01-2022,sugar,KG,88
02-01-2022,sugar,KG,137
02-01-2022,sugar,KG,153
02-01-2022,sugar,KG,168
02-01-2022,sugar,KG,76
02-01-2022,sugar,KG,195
03-01-2022,sugar,KG,83
03-01-2022,sugar,KG,196
03-01-2022,sugar,KG,112
03-01-2022,sugar,KG,124
03-01-2022,sugar,KG,174
03-01-2022,sugar,KG,73
03-01-2022,sugar,KG,129
03-01-2022,sugar,KG,60
03-01-2022,sugar,KG,79
03-01-2022,sugar,KG,84
03-01-2022,sugar,KG,184
04-01-2022,sugar,KG,127
04-01-2022,sugar,KG,155
04-01-2022,sugar,KG,77
04-01-2022,sugar,KG,67
04-01-2022,sugar,KG,71
04-01-2022,sugar,KG,64
04-01-2022,sugar,KG,152
04-01-2022,sugar,KG,137
04-01-2022,sugar,KG,110
04-01-2022,sugar,KG,187
04-01-2022,sugar,KG,165
04-01-2022,sugar,KG,83
04-01-2022,sugar,KG,125
05-01-2022,sugar,KG,125
05-01-2022,sugar,KG,87
05-01-2022,sugar,KG,155
05-01-2022,sugar,KG,183
05-01-2022,sugar,KG,196
05-01-2022,sugar,KG,55
05-01-2022,sugar,KG,171
05-01-2022,sugar,KG,86
05-01-2022,sugar,KG,51
05-01-2022,sugar,KG,182
05-01-2022,sugar,KG,129
05-01-2022,sugar,KG,130
06-01-2022,sugar,KG,100
06-01-2022,sugar,KG,115
06-01-2022,sugar,KG,71
06-01-2022,sugar,KG,181
06-01-2022,sugar,KG,60
06-01-2022,sugar,KG,128
06-01-2022,sugar,KG,192
06-01-2022,sugar,KG,77
06-01-2022,sugar,KG,161
06-01-2022,sugar,KG,129
06-01-2022,sugar,KG,111
06-01-2022,sugar,KG,128
06-01-2022,sugar,KG,132
07-01-2022,sugar,KG,103
07-01-2022,sugar,KG,73
07-01-2022,sugar,KG,166
07-01-2022,sugar,KG,137
07-01-2022,sugar,KG,51
07-01-2022,sugar,KG,69
07-01-2022,sugar,KG,140
07-01-2022,sugar,KG,86
07-01-2022,sugar,KG,124
07-01-2022,sugar,KG,199
07-01-2022,sugar,KG,154
08-01-2022,sugar,KG,64
08-01-2022,sugar,KG,77
08-01-2022,sugar,KG,140
08-01-2022,sugar,KG,137
08-01-2022,sugar,KG,174
08-01-2022,sugar,KG,199
08-01-2022,sugar,KG,95
08-01-2022,sugar,KG,59
08-01-2022,sugar,KG,62
09-01-2022,sugar,KG,112
09-01-2022,sugar,KG,171
09-01-2022,sugar,KG,154
09-01-2022,sugar,KG,60
09-01-2022,sugar,KG,122
09-01-2022,sugar,KG,68
09-01-2022,sugar,KG,197
09-01-2022,sugar,KG,150
09-01-2022,sugar,KG,186
09-01-2022,sugar,KG,97
09-01-2022,sugar,KG,113
09-01-2022,sugar,KG,191
10-01-2022,sugar,KG,66
10-01-2022,sugar,KG,60
10-01-2022,sugar,KG,190
10-01-2022,sugar,KG,78
10-01-2022,sugar,KG,198
10-01-2022,sugar,KG,163
10-01-2022,sugar,KG,163
11-01-2022,sugar,KG,147
11-01-2022,sugar,KG,184
11-01-2022,sugar,KG,156
11-01-2022,sugar,KG,64
11-01-2022,sugar,KG,134
11-01-2022,sugar,KG,196
11-01-2022,sugar,KG,106
11-01-2022,sugar,KG,173
11-01-2022,sugar,KG,64
11-01-2022,sugar,KG,122
11-01-2022,sugar,KG,143
11-01-2022,sugar,KG,69
11-01-2022,sugar,KG,141
11-01-2022,sugar,KG,175
11-01-2022,sugar,KG,162
11-01-2022,sugar,KG,184
12-01-2022,sugar,KG,190
12-01-2022,sugar,KG,128
12-01-2022,sugar,KG,76
12-01-2022,sugar,KG,100
12-01-2022,sugar,KG,112
12-01-2022,sugar,KG,93
12-01-2022,sugar,KG,143
12-01-2022,sugar,KG,103
12-01-2022,sugar,KG,152
12-01-2022,sugar,KG,136
12-01-2022,sugar,KG,67
13-01-2022,sugar,KG,102
13-01-2022,sugar,KG,79
13-01-2022,sugar,KG,139
13-01-2022,sugar,KG,125
13-01-2022,sugar,KG,51
13-01-2022,sugar,KG,90
13-01-2022,sugar,KG,103
13-01-2022,sugar,KG,151
13-01-2022,sugar,KG,147
13-01-2022,sugar,KG,94
14-01-2022,sugar,KG,185
14-01-2022,sugar,KG,117
14-01-2022,sugar,KG,89
14-01-2022,sugar,KG,78
14-01-2022,sugar,KG,157
14-01-2022,sugar,KG,147
14-01-2022,sugar,KG,169
14-01-2022,sugar,KG,157
14-01-2022,sugar,KG,126
14-01-2022,sugar,KG,87
14-01-2022,sugar,KG,78
15-01-2022,sugar,KG,156
15-01-2022,sugar,KG,164
15-01-2022,sugar,KG,198
15-01-2022,sugar,KG,137
15-01-2022,sugar,KG,86
15-01-2022,sugar,KG,200
15-01-2022,sugar,KG,80
15-01-2022,sugar,KG,62
15-01-2022,sugar,KG,66
15-01-2022,sugar,KG,130
15-01-2022,sugar,KG,154
15-01-2022,sugar,KG,95
16-01-2022,sugar,KG,167
16-01-2022,sugar,KG,180
16-01-2022,sugar,KG,127
16-01-2022,sugar,KG,98
16-01-2022,sugar,KG,187
16-01-2022,sugar,KG,104
16-01-2022,sugar,KG,163
16-01-2022,sugar,KG,169
16-01-2022,sugar,KG,101
16-01-2022,sugar,KG,183
16-01-2022,sugar,KG,63
16-01-2022,sugar,KG,99
17-01-2022,sugar,KG,149
17-01-2022,sugar,KG,171
17-01-2022,sugar,KG,179
17-01-2022,sugar,KG,95
17-01-2022,sugar,KG,150
17-01-2022,sugar,KG,83
17-01-2022,sugar,KG,147
17-01-2022,sugar,KG,185
17-01-2022,sugar,KG,106
18-01-2022,sugar,KG,85
18-01-2022,sugar,KG,109
18-01-2022,sugar,KG,125
18-01-2022,sugar,KG,149
18-01-2022,sugar,KG,160
18-01-2022,sugar,KG,180
18-01-2022,sugar,KG,91
19-01-2022,sugar,KG,154
19-01-2022,sugar,KG,110
19-01-2022,sugar,KG,88
19-01-2022,sugar,KG,98
19-01-2022,sugar,KG,139
19-01-2022,sugar,KG,132
19-01-2022,sugar,KG,118
19-01-2022,sugar,KG,101
19-01-2022,sugar,KG,66
19-01-2022,sugar,KG,62
19-01-2022,sugar,KG,181
19-01-2022,sugar,KG,145
20-01-2022,sugar,KG,71
20-01-2022,sugar,KG,143
20-01-2022,sugar,KG,148
20-01-2022,sugar,KG,77
20-01-2022,sugar,KG,178
20-01-2022,sugar,KG,192
20-01-2022,sugar,KG,76
20-01-2022,sugar,KG,128
20-01-2022,sugar,KG,90
21-01-2022,sugar,KG,111
21-01-2022,sugar,KG,148
21-01-2022,sugar,KG,114
